ID,Uppm,206Pb_204Pb,U/Th,206Pb_207Pb,2sig_%,207Pb_235U,2sig_%,206Pb_238U,2sig_%,error_corr.,206Pb_238U_abs,2sig_abs,207Pb_235U_abs,2sig_abs,206Pb_207Pb,2sig_abs,Best age,2sig_abs,Conc,Type
6MGSC-035 063,108,1500,0.32,25.87,24.6,0.0296,26.2,0.00556,9,0.343,35.7,3.2,29.6,7.7,500,1,35.7,3.2,7.1,Ign.
6MGSC-035 064,178,23773,1.67,10.828,2.7,3.1108,4.2,0.24441,3.1,0.75,1409.6,39.4,1435.4,31.9,1473.8,52.2,1473.8,52.2,95.6,Ign.
,,,,,,,,,,,,,,,,,,,,
Rejected Analyses,Uppm,6/4_Pb,U/Th,6/7_Pb,2sig_%,Jul-35,2sig_%,Jun-38,2sig_%,error_corr.,6/38_abs,2sig_abs,7/35_abs,2sig_abs,6/7_abs,2sig_abs,Best age,2sig_abs,Conc,Error Code
5MGSC 035 017,487,227196,1.02,9.371,2.1,4.4917,4.8,0.30542,4.3,0.896,1718.1,64.5,1729.4,39.6,1743.2,38.7,1743.2,38.7,98.6,Variable Intensity 
5MGSC 035 018,52,1500,1.02,7.465,30.7,0.1065,32.6,0.00577,11,0.336,37.1,4.1,102.8,31.9,2149.6,539.8,37.1,4.1,1.7,Variable Intensity 
5MGSC 035 019,572,1500,1.02,20.796,33.5,0.0368,36.3,0.00555,14,0.385,35.7,5,36.7,13.1,102.5,796.9,35.7,5,34.8,6/8err 
5MGSC 035 021,0,3000,1.02,10,1,0.1,1,0.1,1,0.8,500,1,500,1,500,1,500,1,100,"Bad (Low 235), 
Variable Intensity "
6MGSC 035 032,234,12675,1.02,8.291,4.1,3.9154,5.8,0.23554,4,0.697,1363.5,49.5,1616.9,46.8,1964.5,74,1964.5,74,69.4,Discord 
6MGSC 035 040,723,23762,1.02,9.348,2.7,3.1883,5.6,0.21627,4.9,0.875,1262.1,56.2,1454.3,43.3,1747.6,49.7,1747.6,49.7,72.2,"Discord, 
High 204 "
6MGSC 035 042,1510,49065,1.02,9.465,2.1,2.3639,8.8,0.16234,8.5,0.97,969.8,76.4,1231.8,62.5,1724.9,39.3,1724.9,39.3,56.2,Discord 
6MGSC 035 048,1087,34245,1.02,10.845,3.1,2.1678,5.2,0.17059,4.2,0.803,1015.3,39,1170.8,36,1470.8,58.5,1470.8,58.5,69,Discord 
6MGSC 035 054,331,1500,1.45,5.111,90.3,0.1136,90.4,0.00421,4.5,0.05,27.1,1.2,109.3,93.7,2789.6,1574.3,27.1,1.2,1,Spectrogram Peaks
6MGSC 035 055,236,14738,1.31,19.887,12.9,0.0265,14,0.00382,5.3,0.38,24.6,1.3,26.5,3.7,207.1,300,24.6,1.3,11.9,Spectrogram Peaks
6MGSC 035 059,9332,133186,12.06,21.185,3.6,0.029,5.3,0.00446,3.9,0.738,28.7,1.1,29.1,1.5,58.5,85.6,28.7,1.1,49.1,Spectrogram Peaks
6MGSC 035 060,1697,7441,1.02,21.532,11.6,0.0294,19.3,0.0046,15.4,0.8,29.6,4.5,29.4,5.6,19.6,277.9,29.6,4.5,151,"6/8err, 
Variable Intensity "
